Date,Open,High,Low,Close
10/17/2019,"2,979.99","2,986.72","2,969.57","2,977.33"
10/16/2019,"2,992.61","3,010.42","2,975.92","2,978.71"
10/15/2019,"3,005.66","3,005.66","2,986.30","2,991.05"
10/14/2019,"2,993.96","3,026.38","2,989.81","3,007.88"
10/11/2019,"2,954.82","2,980.79","2,943.01","2,973.66"
10/10/2019,"2,923.71","2,949.24","2,918.23","2,947.71"
10/09/2019,"2,902.08","2,924.86","2,891.54","2,924.86"
10/08/2019,"2,905.76","2,933.02","2,905.76","2,913.57"
09/30/2019,"2,927.92","2,936.48","2,905.19","2,905.19"
09/27/2019,"2,929.49","2,939.08","2,920.93","2,932.17"
09/26/2019,"2,964.48","2,970.04","2,928.26","2,929.09"
09/25/2019,"2,977.67","2,977.67","2,955.43","2,955.43"
09/24/2019,"2,979.48","3,002.90","2,973.76","2,985.34"
09/23/2019,"2,998.40","2,998.40","2,960.83","2,977.08"
09/20/2019,"3,004.81","3,011.34","2,996.19","3,006.45"
09/19/2019,"2,992.92","2,999.28","2,975.40","2,999.28"
09/18/2019,"2,984.08","2,996.40","2,982.40","2,985.66"
09/17/2019,"3,023.71","3,023.71","2,970.57","2,978.12"
09/16/2019,"3,041.92","3,042.93","3,020.05","3,030.75"
09/12/2019,"3,016.63","3,033.47","3,005.19","3,031.24"
09/11/2019,"3,029.93","3,030.56","3,004.22","3,008.81"
09/10/2019,"3,027.41","3,027.41","3,005.38","3,021.20"
09/09/2019,"3,023.78","3,026.24","3,005.69","3,024.74"
09/06/2019,"2,996.62","2,999.94","2,981.60","2,999.60"
09/05/2019,"2,972.66","3,015.84","2,972.66","2,985.86"
09/04/2019,"2,927.75","2,957.41","2,925.88","2,957.41"
09/03/2019,"2,925.94","2,930.15","2,915.20","2,930.15"
09/02/2019,"2,886.94","2,928.48","2,883.68","2,924.11"
08/30/2019,"2,907.38","2,914.58","2,874.10","2,886.24"
08/29/2019,"2,896.00","2,898.60","2,878.59","2,890.92"
08/28/2019,"2,901.63","2,905.44","2,887.01","2,893.76"
08/27/2019,"2,879.52","2,919.64","2,879.41","2,902.19"
08/26/2019,"2,851.02","2,870.49","2,849.24","2,863.57"
08/23/2019,"2,885.15","2,902.46","2,878.74","2,897.43"
08/22/2019,"2,887.66","2,888.50","2,867.55","2,883.44"
08/21/2019,"2,875.47","2,885.59","2,872.56","2,880.33"
08/20/2019,"2,879.08","2,892.08","2,875.00","2,880.00"
08/19/2019,"2,835.52","2,883.10","2,829.85","2,883.10"
08/16/2019,"2,817.57","2,840.32","2,811.80","2,823.82"
08/15/2019,"2,762.34","2,815.90","2,756.83","2,815.80"
08/14/2019,"2,824.49","2,829.89","2,807.72","2,808.91"
08/13/2019,"2,798.05","2,802.04","2,790.61","2,797.26"
08/12/2019,"2,781.98","2,814.99","2,776.62","2,814.99"
08/09/2019,"2,805.59","2,808.33","2,770.48","2,774.75"
08/08/2019,"2,784.18","2,799.69","2,782.24","2,794.55"
08/07/2019,"2,789.02","2,792.69","2,768.68","2,768.68"
08/06/2019,"2,776.99","2,787.42","2,733.92","2,777.56"
08/05/2019,"2,854.58","2,863.69","2,821.50","2,821.50"
08/02/2019,"2,861.33","2,872.47","2,851.44","2,867.84"
08/01/2019,"2,920.85","2,927.34","2,901.75","2,908.77"
07/31/2019,"2,944.40","2,944.40","2,926.49","2,932.51"
07/30/2019,"2,946.26","2,965.63","2,946.26","2,952.34"
07/29/2019,"2,943.92","2,948.47","2,932.98","2,941.01"
07/26/2019,"2,928.06","2,948.33","2,924.45","2,944.54"
07/25/2019,"2,923.19","2,937.36","2,916.15","2,937.36"
07/24/2019,"2,907.93","2,936.45","2,907.79","2,923.28"
07/23/2019,"2,886.90","2,901.36","2,883.05","2,899.94"
07/22/2019,"2,925.79","2,927.16","2,879.69","2,886.97"
07/19/2019,"2,909.68","2,939.60","2,909.68","2,924.20"
07/18/2019,"2,921.74","2,921.74","2,901.18","2,901.18"
07/17/2019,"2,933.02","2,942.07","2,924.46","2,931.69"
07/16/2019,"2,938.64","2,944.82","2,931.29","2,937.62"
07/15/2019,"2,921.55","2,955.00","2,886.70","2,942.19"
07/12/2019,"2,915.34","2,938.53","2,905.81","2,930.55"
07/11/2019,"2,928.06","2,945.80","2,907.89","2,917.76"
07/10/2019,"2,935.19","2,936.75","2,908.16","2,915.30"
07/09/2019,"2,928.82","2,937.76","2,912.81","2,928.23"
07/08/2019,"2,997.81","2,997.81","2,918.72","2,933.36"
