OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change,HighChange,LowChange,VolumeChange,VolChange
1640000000000.0,3811.57,3833.33,3810.21,3827.7,4711.8086,1640000000000.0,18016243.19,16532,2319.4208,8868204.497,0,0.4231851966512396,0.14708571727147138,-0.456932361470329,654.9386000000004,16.143938553614003
1640000000000.0,3827.7,3840.02,3820.09,3828.27,6026.1116,1640000000000.0,23087310.07,18834,3200.5345,12260433.44,0,0.014891449173136968,0.30692714986142566,-0.21367353922267332,1314.3029999999999,27.89381130634211
1640000000000.0,3828.11,3828.79,3805.82,3807.03,7307.3185,1640000000000.0,27876726.44,20383,3523.2327,13441042.68,0,-0.5506633821912099,0.5715741667388952,-0.031783306146787295,1281.2069000000001,21.260922217238726
1640000000000.0,3807.03,3810.7,3794.67,3805.78,6809.3533,1640000000000.0,25898174.18,21483,3715.2202,14131160.58,0,-0.032833993953291674,0.12927704701794684,-0.29192438869299137,-497.96520000000055,-6.814609216773575
1640000000000.0,3805.78,3806.68,3784.77,3798.45,9233.5562,1640000000000.0,35050249.96,25020,3692.9651,14018375.02,0,-0.1926017793987141,0.21666732482986528,-0.36014690202582206,2424.202900000001,35.601073893463585
1640000000000.0,3798.45,3806.36,3775.7,3785.0,7953.6351,1640000000000.0,30160830.27,18264,3627.6598,13757988.08,0,-0.3540918006028727,0.5643328929986823,-0.24570673712021618,-1279.9211000000005,-13.861626791203161
1640000000000.0,3785.24,3799.73,3780.3,3791.87,5823.7729,1640000000000.0,22078879.8,17942,3169.5911,12016499.48,0,0.17515401929600527,0.20728558732235353,-0.305126494315462,-2129.8622000000005,-26.778475165399534
1640000000000.0,3791.87,3822.99,3790.72,3812.13,8723.2902,1640000000000.0,33233606.44,20473,4706.8467,17934766.91,0,0.5343010177036718,0.2848801063972024,-0.5616282760556516,2899.5172999999995,49.787609334835146
1640000000000.0,3812.14,3817.02,3799.6,3803.17,5360.1207,1640000000000.0,20409658.35,13579,2621.1926,9981632.923,0,-0.23530090710204243,0.36416988985503956,-0.09386906186155664,-3363.169499999999,-38.553910541689866
1640000000000.0,3803.18,3811.0,3798.33,3808.88,5377.7832,1640000000000.0,20456863.1,14895,2838.5452,10798531.91,0,0.14987457864209092,0.055659406439685435,-0.27698431034845367,17.662499999999454,0.3295168334548782
1640000000000.0,3808.88,3821.99,3804.72,3807.4,5950.8314,1640000000000.0,22687122.83,17042,2689.6846,10254895.9,0,-0.03885656675978288,0.3832011346325495,-0.070389242002424,573.0482000000002,10.655844214768646
1640000000000.0,3807.39,3818.3,3789.66,3808.86,9522.7019,1640000000000.0,36225986.48,21224,5044.7129,19189393.67,0,0.03860912593667196,0.2478431866752796,-0.5040878373056576,3571.8705,60.0230498884576
1640000000000.0,3808.86,3830.7,3808.18,3823.97,9175.9663,1640000000000.0,35062231.11,20368,5531.3325,21135514.83,0,0.3967066261295945,0.17599510456410533,-0.41292164948992705,-346.7356,-3.6411472672477547
1640000000000.0,3823.97,3845.0,3823.97,3834.61,9226.6499,1640000000000.0,35397473.35,22966,4903.3434,18808885.22,0,0.2782448607075978,0.27095323905168645,-0.2774728068825859,50.6836000000003,0.5523516362521983
1640000000000.0,3834.61,3838.51,3816.84,3819.1,7276.4538,1640000000000.0,27863147.75,19910,3405.7555,13043659.86,0,-0.404473988228274,0.5082349244586502,-0.059176245712334416,-1950.1961000000001,-21.136556834133266
1640000000000.0,3819.1,3830.43,3818.49,3819.29,5923.7388,1640000000000.0,22657217.67,17355,3135.1157,11990694.55,0,0.004974994108561038,0.2916772489127527,-0.020946301537725125,-1352.7150000000001,-18.590305623874094
1640000000000.0,3819.28,3853.09,3802.85,3804.19,16483.3257,1640000000000.0,63005935.95,36997,8186.3441,31293151.81,0,-0.39510064724241595,1.2854247553355667,-0.03522431844887204,10559.586900000002,178.2588202572335
1640000000000.0,3804.19,3814.11,3777.0,3784.04,16201.2909,1640000000000.0,61537927.42,33916,7188.1462,27299657.88,0,-0.5296791169736551,0.7946533334742805,-0.1860445449836673,-282.03480000000127,-1.7110309238141261
1640000000000.0,3784.04,3795.0,3735.2,3748.93,19371.0489,1640000000000.0,72760036.72,46347,8486.1586,31873726.38,0,-0.927844314542133,1.2288839748941742,-0.3662378331950722,3169.7580000000016,19.56484837884123
1640000000000.0,3748.67,3775.86,3742.43,3761.65,10081.629,1640000000000.0,37915576.48,27133,4688.6651,17636927.32,0,0.34625613884391043,0.37775975967992864,-0.5109459944439343,-9289.4199,-47.95517242228427
1640000000000.0,3761.66,3771.46,3745.0,3752.4,5843.6159,1640000000000.0,21954412.13,21502,2634.4177,9899060.978,0,-0.24616791522890863,0.5079415840528714,-0.1972071207760391,-4238.013100000001,-42.036987276560176
1640000000000.0,3752.39,3764.0,3738.26,3738.4,6231.0744,1640000000000.0,23397936.53,16519,3358.1087,12611634.57,0,-0.372829050285279,0.6847849347314335,-0.003744917611809134,387.45850000000064,6.630458035409218
1640000000000.0,3738.39,3742.18,3680.0,3699.02,29787.7007,1640000000000.0,110368434.2,57417,13184.1885,48849596.44,0,-1.0531271483178557,1.166795529626762,-0.514190244983806,23556.6263,378.05079489983297
1640000000000.0,3699.02,3735.38,3693.32,3723.38,9569.7905,1640000000000.0,35540462.44,23869,4542.3052,16875331.99,0,0.6585528058783171,0.3222878137606154,-0.80733097347034,-20217.910200000002,-67.8733494861522
1640000000000.0,3723.52,3772.99,3722.22,3751.99,10594.7343,1640000000000.0,39734400.47,35601,5737.652,21513803.88,0,0.764599089034027,0.5597029842830072,-0.793445611528815,1024.943800000001,10.710201022686975
1640000000000.0,3751.99,3778.67,3745.68,3765.89,8416.4761,1640000000000.0,31670815.47,24336,3914.4458,14728502.91,0,0.370470070549231,0.33936201004278405,-0.5366593288704672,-2178.2582,-20.559819041427023
1640000000000.0,3765.89,3774.36,3736.94,3743.11,8719.5215,1640000000000.0,32772507.06,21619,4096.7112,15400373.63,0,-0.6049034889494845,0.8348672627841555,-0.1648361923641056,303.0454000000009,3.6006209297024068
1640000000000.0,3743.11,3760.03,3728.1,3732.26,7623.7429,1640000000000.0,28541086.2,18342,3843.7936,14395229.27,0,-0.2898659136386563,0.7440532010095755,-0.11146061635578199,-1095.7786000000006,-12.566957946029497
1640000000000.0,3732.26,3740.0,3713.11,3725.81,8839.3156,1640000000000.0,32941593.67,21769,4004.3853,14924736.27,0,-0.17281754218624298,0.38085678013640134,-0.3408654762320091,1215.5726999999997,15.94456575916273
1640000000000.0,3725.82,3749.61,3718.89,3744.23,6563.9242,1640000000000.0,24521678.0,16237,3190.9541,11925241.01,0,0.4941194153233343,0.14368775422450303,-0.676774663949601,-2275.3913999999995,-25.7417146639724
1640000000000.0,3744.04,3759.72,3729.5,3730.84,7159.7679,1640000000000.0,26792101.56,17127,3692.5026,13823608.18,0,-0.35256033589384245,0.7740884090446026,-0.0359168444639852,595.8436999999994,9.077553028415524
1640000000000.0,3730.85,3748.03,3726.6,3742.39,5676.244,1640000000000.0,21212083.75,15151,2871.8526,10733501.69,0,0.30931289116421096,0.1507058323691632,-0.4219228888491035,-1483.5239000000001,-20.72027921463767
1640000000000.0,3742.38,3755.9,3734.44,3753.33,5217.8403,1640000000000.0,19560577.14,14399,2815.2259,10554872.41,0,0.29259455212992314,0.06847252972694018,-0.5032864149968128,-458.40369999999984,-8.075827959474607
1640000000000.0,3753.34,3764.53,3746.75,3763.87,5272.8543,1640000000000.0,19805974.06,16318,2771.8713,10412716.22,0,0.2805501233567901,0.0175351433498051,-0.4548509911341224,55.014000000000124,1.054344265768351
1640000000000.0,3763.88,3781.88,3757.58,3770.12,10982.1712,1640000000000.0,41434540.68,23051,6083.4991,22953050.64,0,0.16578636938477798,0.3119264108304303,-0.33261540746713536,5709.316900000001,108.27753954817226
1640000000000.0,3770.12,3778.92,3763.59,3766.93,10956.7217,1640000000000.0,41338039.26,19031,4148.1209,15650169.1,0,-0.08461269137322033,0.31829633149541503,-0.08866636757252433,-25.449500000000626,-0.2317346864889579
1640000000000.0,3766.93,3814.99,3764.52,3805.76,12503.6287,1640000000000.0,47411560.87,32366,7122.1265,27011641.93,0,1.0308128900722973,0.24252711679137842,-1.0836206171697698,1546.9069999999992,14.118337969650167
1640000000000.0,3805.76,3840.0,3805.5,3836.19,21823.7676,1640000000000.0,83498534.0,42596,12264.076,46915044.74,0,0.7995774825527577,0.09931729137503474,-0.8000125124146629,9320.1389,74.5394726892362
1640000000000.0,3836.19,3841.93,3818.15,3831.79,11473.6512,1640000000000.0,43907423.59,28002,5544.9666,21224422.37,0,-0.1146971343963696,0.2646282807773879,-0.35596940333368665,-10350.116399999999,-47.42589176032098
1640000000000.0,3831.79,3875.0,3815.06,3865.96,18976.9053,1640000000000.0,73030081.34,45356,10462.6568,40282688.64,0,0.8917503307853529,0.23383583896367174,-1.316619933987938,7503.254099999998,65.39552204619919
1640000000000.0,3865.96,3900.73,3851.52,3875.34,25124.721,1640000000000.0,97419559.44,47913,13587.9538,52694416.03,0,0.24263054972115874,0.6551683207150824,-0.6146557463345194,6147.815700000003,32.39630278388965
1640000000000.0,3875.34,3887.08,3843.82,3849.52,15187.6719,1640000000000.0,58742964.14,41332,7904.0186,30571912.99,0,-0.6662641213416155,0.9757060620544884,-0.14807040877823258,-9937.049100000002,-39.55088337100341
1640000000000.0,3849.51,3865.64,3835.63,3851.71,17338.0907,1640000000000.0,66741019.04,36104,8171.7007,31460904.85,0,0.0571501307958628,0.36165754950398227,-0.4174769128516925,2150.4188000000013,14.158975873056628
1640000000000.0,3851.57,3864.58,3837.01,3838.3,5685.1103,1640000000000.0,21909854.4,19834,2618.2986,10092342.0,0,-0.3445348260579447,0.6846781127061393,-0.03360862882004959,-11652.9804,-67.2102863090917
1640000000000.0,3838.3,3854.5,3762.38,3771.68,23872.4179,1640000000000.0,90770197.28,53864,9842.2049,37415808.8,0,-1.735664226350216,2.195838459254236,-0.24657447079284903,18187.3076,319.91125308509845
1640000000000.0,3771.69,3842.52,3758.4,3812.31,26045.4081,1640000000000.0,99233450.08,55300,15354.5409,58499037.17,0,1.0769708008876628,0.7924329343626315,-1.414103260228047,2172.9902,9.102514077553913
1640000000000.0,3812.05,3829.8,3795.59,3816.37,13415.1941,1640000000000.0,51138716.42,32661,7840.1578,29871160.23,0,0.11332485145786936,0.3519050825784788,-0.5444964717781491,-12630.214,-48.49305471239669
